,prompt,response
19," I have a Yamaha Fascino Vehicle, Model no.125 FI hybrid, bearing no. TN-58-AP-7864. I gave it to the authorised service centre at Kochadai, Madurai. I had applied for an “annual maintenance contract”. As per the annual contract I was given 3 free services without any labour charge and 2 free wash. But when I approached the service centre after using 2 free services and one free wash, the third service was supposed to be free but they charged me Rs. 460 for the service instead of giving free service. 
</INST>. Please give additional information, so that I can understand the full timeline of events. What is the name and the address of the service centre where you gave your bike for service? 
</s> <s><INST> M/s. Alagendra Auto, Yamaha Bike Service, No.173-C, Natraj Nagar Main Road,Kochadai, Madurai – 16.
","When did you initially purchase the annual maintenance contract from the Yamaha service centre? How much did you pay for the annual maintenance contract?
"
20,": I purchased the annual maintenance contract on January 4, 2021. For a payment of Rs 999, I was supposed to get 3 free services without any labour charges and 2 free water washes. 
","Okay, and on that same initial visit on January 4, did you receive any documentation for the Annual Maintenance purchase and the first free service? Did you avail any free service from the service centre.
"
21,"Yes, they gave me a receipt for the AMC payment of Rs 999 (Bill #GES8826) and a job card for the first free service (Job Card #60183A). The first service invoice also mentioned the next service would be due on March 4.Yes, I have availed 2 free services but when I went for the 3rd free service the service centre denied me the last free service and charged me labour fees.
</INST>:Great, those receipts will be useful evidence. And when did you go in for the second free service under the AMC?: 
</s> <s><INST> I went in on May 4 for the second service. 
","Understood. It seems up until that point, everything was going smoothly under the contract. When did things go wrong? 
"
22," On November 23 when I went for my third service, which should have been free under the AMC. But this time, they charged me labour fees of Rs 460 in the invoice even though I submitted the final coupon.
","And did you keep those coupon receipts safely as they will be used as evidence. 
"
23," Yes, I have the receipt of the bill that mentions free service on Jan 4 2021 and May 4 2021. 
","I see. So for that third visit, do you have an invoice showing the labour fees which should not have been charged according to the terms of the annual maintenance contract.
"
24," Yes, the invoice number is GES8962 and it shows the Rs 1307 that includes Rs 460.20 as labour fee, which should have been free,
","Did you inform the service centre about the extra charge in the invoice for the service of the bike even though the last free service was available to you?
"
25," Yes, I took up the issue with the manager of the service centre but they did not have any positive reply and withheld my bike and asked me to make full payment of  	Rs. 1,307 which included Rs. 460.20 as labour charge. 
","Can you also tell on what date you make the payment for the 3rd service and for how much time the bike was withheld by the service provider?
"
26," I made the payment for the 3rd service on 20.01.2022. They withhold my bike from 23 Nov. 2021 to 20 Jan 2022. Can you help me with the remedy that I have under the law?
","You have two options, first is to send the legal notice and the second is to file a complaint with the consumer forum. 
"
27," Kindly, draft another legal notice and the complaint. 
","Thank you! .I will generate the complaint and the notice. Please note that the jurisdiction of the above would be Madurai as both the parties reside in Madurai. Before proceeding with the complaint could you please provide the address of both the parties? 
"
28," I am S.Pugazhendhi and working as teacher at government school and resident of D.No.331, Thamaraiveethi, Natraj Nagar, Madurai – 16 and the opposite party is the resident of  M/s. Alagendra Auto, Yamaha Bike Service, No.173-C, Natraj Nagar Main Road, Kochadai, Madurai – 16.
","In order to file a complaint you will need information regarding the evidence such as the invoices of the services availed at the service centre. The bill for the annual maintenance contract and job card. 
"
29,". I have all the documents that hold the substantial interest in the present case, like the bill of all the services from 1 to 3, The receipt of the annual maintenance contract and the receipt of the service no. 3 shows that the labour charge was taken from the complainant even though it was a free service. 
","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled notice that you can access here and a complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?
"
30," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
31," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","Based on the information provided you can access the complaint here. You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Tamil Nadu as the State and Madurai as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter “M/s. Alagendra Auto, Yamaha Bike Service”. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“ The Opposite Party has charged the labour fee for servicing the bike of the Complainant even though the complainant has purchased an annual maintenance contract from the opposite party that gives 3 free service and 2 free water wash. This amounts to deficiency in service and unfair trade practice undertaken by the Opposite Party.
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
In case you get any problem in the above process or have any doubt, I would suggest you contact the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?
"
32," No
","It was great to assist you!

"
33," I insurance claim was repudiated without valid reasons. 
","Give me more details, I will try to be of as much help as possible. 
"
34," Thank you. I had taken Care Health Insurance Limited policy no. 11561922 valid from 29/09/2020 to 28/09/2021. I was diagnosed with COVID in April 2021 and hospitalized at Amar Hospital, Patiala from 13/04/2021 to 18/04/2021.
","Do you have the hospitalization records and bills?
"
35," Yes, I have all the documents. The total bill was Rs. 89,124. I had intimated the insurance company and requested cashless facility but they denied it without any reason.
","Okay. What next steps did you take?
"
36," After getting discharged, I submitted the claim in Claim No. 91676498 along with all bills and documents. But the company rejected it saying I did not disclose a pre-existing heart condition.
","Did you have any heart condition? What does the discharge summary state?
"
37," No, I never had any heart disease or surgery! The summary clearly states diagnosis as COVID-19 positive. There is no evidence of any heart condition.
","This is a fraudulent repudiation of claim. Do you have any communication records with the company?
"
38," Yes, I have their rejection letter dated 10/05/2021 where they have given false grounds.
","Since its an insurance claim you have the option to approach the insurance ombudsman. However, you can also file a complaint before the consumer court having jurisdiction to hear the case. For that, you must first send a fifteen-day notice to Care Health Insurance Limited. The same can be sent electronically or by post. Or else, you can also contact the  National  Consumer Helpline using the helpline number 1800-11-4000. The Consumer Helpline will give assistance regarding how you can approach the present dispute. What would you prefer?
"
39," I prefer sending legal notice. 
","Certainly. I will need some more information from you related to the matter. Can you please tell me the following: your full name with address, age, and occupation, and the registered address of the insurance compnay?
"
40," Sure. 1. Mr. Kanwal Nater Nagrath, aged 74 years, residing at Balaji Nursing Home, Ward No. 13, Water Works Road, Mansa 2. The Managing Director,  Care Health Insurance Limited,  5th Floor, 19 Chawla House, Nehru Palace, New Delhi-110019
","Thank you. I would need some more information from you related to the matter to assist you better. What is the relief that you would wish to pursue?
"
41," I would want my insurance claim of Rs. 89,124/- and compensation for harassment as well as litigation charges. 
","Thank you for supplying the information! Please find the notice for filing of consumer complaint here. Please note that these are templates that may require certain corrections or modifications and certain details (particularly the date and signature) will need to be filled at your end. 
"
42," Thank you. I want to file a consumer complaint; can you guide me?
","Sure. Since the value of the amount you transferred is Rs. 89,124/-. which is less than One Lakh rupees, the complaint will have to be filed in a District Commission. You, as a complainant, reside in Mansa district and the cause of action arises in Mansa. The opposite party carries on business in New Delhi. You have the option to file the complaint to the Mansa or New Delhi District Consumer Redressal Commission. 
"
43," Mansa is more convenient from me. Please let me further details regarding the process of filing a complaint. 
","Sure. Below is the process for filing a consumer complaint at the Mansa District Consumer Disputes Redressal Commission for the described dispute through the e-Daakhil platform:
1.	Create Account: If not already registered, create an account on the e-Daakhil portal.
2.	Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
3.	Login: Use your credentials to login to the portal.
4.	Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
5.	Click consumer complaint.
6.	Read the disclaimer and click “accept”.
7.	Click consumer complaint.
8.	Enter the amount you are seeking as compensation in the claim amount. 
9.	Select Punjab as the state and Mansa as the district. Click continue.
10.	You will now land on the Case details page. Enter your name, your address, and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
11.	Enter The Managing Director, Care Health Insurance Limited, in the Opposite party name section. 5th Floor, 19 Chawla House, Nehru Palace, New Delhi-110019 in the Opposite Party address. Select the state and district of the registered address. 
12.	In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
13.	In the Complaint section, write the following: 
“I am a holder of a Group Care (PNB) health insurance policy bearing no. 11561922/COI issued by Care health Insurance benefit valid from 29.09.2020 to 28.09.2021. I had paid the premium for the policy. I was as diagnosed with COVID-19 in April 2021 and was hospitalized at Amar Hospital, Patiala from 13.04.2021 to 18.04.2021, incurring medical expenses of Rs. 89,124/-. I intimated the insurance company and requested for cashless facility which was arbitrarily denied. I submitted all documents and bills in Claim No. 91676498 but through a letter dated 10.05.2021, the insurance company repudiated my claim on flimsy grounds of alleged non-disclosure of a pre-existing heart ailment” 
14.	Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name, and the opposite party, click save and continue. 
15.	Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence you have that you intend to rely on. 
16.	Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
17.	You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 
Do you also want me to draft a complaint letter for you?

"
44," Yes, that would be really helpful.

","Excellent, I've generated a pre-filled complaint for you with all the details you've provided. You can find it here. Once downloaded, fill in all blank details, review and sign the complaint and verification before a notary public. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now?
 
"
45," Yes, Please. 

","Sure. Here is a draft affidavit and Memorandum of Parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?

"
46," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.


"
47," Hi! I bought a Maruti Suzuki Swift VDI car about three years ago, and I've been having a problem with one of the doors. It got damaged due to rust within the first 13 months, and the company is not willing to repair or replace it.

","Can you please provide your full name, age, occupation, and residential address?

"
48," Sure, my name is Sheik Jaffar, I'm 35 years old, I run a small business, and I live at H.No.3-60, Siddapur village, Kothur Mandal, R.R. District – 509338.

","Let's discuss the specifics of the purchase. When did you buy the Swift VDI car, and from which dealership did you make the purchase? What problem did you face with the purchased car?What did you do to redress the issue?

"
49," I purchased the car for Rs 7,25,000 on July 18, 2018, from Sri Jayaram Motors Pvt. Ltd., located at Plot Nos. C1 and C2, Industrial Area, Mettugadda, Mahabubnagar - 509001. I first noticed the issue with the car door within the first 13 months of purchase, and I approached the dealer, Sri Jayaram Motors, multiple times regarding the problem from the date of purchase ie. July 18,2018. However, they refused to repair or replace the damaged door. The damage was due to rust, and it affected both the cosmetic appearance and the functionality of the door. I spent Rs. 1,00,000/- that  includes the expenses I had to incur for repairing the damaged door  in August 2019. 

","When you gave your car for repairs, the person who repaired your car might have informed you about the shortcoming in the design and material used in the manufacturing of the car door that caused the damage to the car door within a short amount of time.

"
50," The worker, where I repaired my car, informed me that the use of the galvanised steel is known for its resistance to corrosion, and using it in car bodies can significantly extend the durability of the vehicle. In my case, the rusting of the car door occurred within a relatively short period, indicating a lack of adequate corrosion resistance in the materials used. Despite the company's claim in the owner's manual about the state-of-the-art technology and periodic servicing for optimal results, they failed to address the issue, leading to continued frustration on my part.

","Thank you for sharing that information. Now, let's discuss the evidence you have to support your complaint.?

"
51," The invoice serves as proof of the purchase of the Swift VDI car. I have a copy of Service records and job cards establishing my multiple attempts to seek assistance from authorised workshops. Photographs of the damaged door are crucial visual evidence that showcases the extent of the rusting and the need for repairs or replacement.

","Thank you for providing clarity on the evidence.You have the option to send a legal notice or file a complaint. In case you get any problem in the above process or have any doubt, I would suggest you contact the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?

"
52," Thank you for sharing the helpline number. Kindly draft me a legal notice. 

","You have already mentioned the address of the opposite party from where you made the purchase but I advise you to make Maruti Suzuki also the party to the case. So kindly provide the address of the opposite party Maruti Suzuki.

"
53," The address of the opposite party is  Maruti Suzuki India Limited, Rep. by its Executive Vice President (Service), Palam Gurgaon Road, Gurgaon - 122 015.


","Here is  the legal notice that you can send to the opposite party. But it is to inform you that the opposite party may not agree to the demand that you made in the notice. In such a case you should file a consumer complaint.
"
54," Please, tell me the process to file  the consumer complaint. I would like to file a complaint
","Before filing the consumer complaint, you have to consider in what jurisdiction you are going to file the complaint. Now, considering the jurisdiction, You reside in Rangareddi District and the opposite party resides in Mahabubnagar district. Therefore, I believe both the courts have authority to try and entertain my complaint. Which court do you prefer?

"
55," I prefer Mahabubnagar court. Please draft the consumer complaint. 

","I will draft a complaint for you but before that I would like to have your input as to what redressal do you seek from the consumer court, you can  ask for replacement of the door or compensation for deficiency of service and the cost for the complaint. 

"
56," I would like to ask for the compensation of Rs 1,00,000. The amount of Rs. 1,00,000/- is based on the actual expenses incurred for repairing the damaged door in Aug 2019. I would like to have Rs. 9,15,000/- as for the deficiency in service and hardship I endured. 

","Thank you for providing detailed information, Sheik Jaffar. I believe we have covered all the relevant aspects of your case. Is there anything else you would like to add or clarify before we conclude our conversation?

"
57," I believe we've covered everything. I just hope that this process can lead to a fair resolution and compensation for the troubles I've faced with my car.

","Thank you. The evidence would help us shield our case. On the basis of the documents that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?
"
58," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
59," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“The complainant filed a grievance against the car manufacturer and its authorised dealer, asserting that the purchased vehicle experienced door damage within 13 months due to rust. Despite numerous attempts to seek resolution, the dealership declined to address the issue, resulting in financial loss and mental distress for the complainant. The complaint contends that the car manufacturer's failure to utilise galvanised steel for corrosion resistance constitutes deficient service and unfair trade practice. Compensation, repair expenses, and legal fees are sought as remedies for the damages incurred.”
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
60," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case.
"
61," Got it. Thank you very much!
","You are welcome. Feel free to raise further queries anytime. Best wishes.

"
62,"  I've been facing a lot of trouble with a parcel I sent to my husband in Mexico.
","Could you elaborate the issue by mentioning the details.
"
63," I packed all the items my husband requested and went to International Couriers Services Shipping World Wide on 10th June 2021. They informed me that the parcel would be sent through Jet Dart Express Couriers, who have branches abroad.
","And did you submit all the necessary documents for the shipment?
"
64," Yes, I arranged for an invoice as requested by International Couriers Services on 12th August 2021, and submitted it to them on 13th August 2021. They assured me that the parcel would reach my husband on time and issued a receipt for Rs.7,900, fixing the delivery date as 23rd October 2021.
","What happened after that?
"
65," Unfortunately, the parcel was never delivered to my husband. Despite being sent two months before the scheduled delivery date, it never reached him. I tried contacting Jet Dart Express Couriers, but their helpline numbers were always busy.
","I see. And what did you do after realizing that the parcel was not delivered?
"
66," I issued a legal notice to both International Couriers Services and Jet Dart Express Couriers on 9th February 2022, but they didn't respond. That's why I've decided to file  a complaint.
","Thank you for providing me with all this information. I could assist you with drafting a complaint and provide a step by step guideline to file a complaint. However, I would like to suggest that you also have an option of contacting the agent through the Consumer Helpline Number and address your grievance.
"
67," Could you provide me the helpline number
","To be specific, there is a National and State Consumer Helpline Number. Which number do you want me to provide you with.
"
68,"  Provide me with both the Helpline Number.
","Could you please mention which state you reside in.
"
69,"  Andhra Pradesh
","Please find the National Consumer Helpline number- 1800-11-4000 and the State Consumer Helpline number- 1800-425-0082 / 1800-425-2977.
"
70," I would still like to proceed with filing a complaint. Can you provide me with the process.
","Sure. Here is a detailed guideline to file a complaint online in the E-Dakhil Portal.
Create Account: If not already registered, create an account on the e-Daakhil portal.
Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
Login: Use your credentials to login to the portal.
Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
Click consumer complaint.
Read the disclaimer and click “accept”.
Click consumer complaint.
Enter Rs. 407900 in the claim amount. 
Select Andhra Pradesh as the state and Visakhapatnam as the district. Click continue.
You will now land on the Case details page. Enter your name, your address and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
Enter the name and address of and other details of the service center in the Opposite party name section. Select the state and district of the registered address.
In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
In the Complaint section, write the following: 
I, Gorle Dhanalakshmi arranged to send items to her husband in Mexico via International Couriers Services, directed through Jet Dart Express Couriers. Despite assurances and payment of Rs.7,900, the parcel was not delivered by the promised date of 23/10/2021. Attempts to contact Jet Dart Express were futile. The delay caused significant inconvenience. Legal notice issued on 09/02/2022 received no response. The complaint seeks redress for the failure of the courier services to deliver the parcel and address the grievances. 
Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name and opposite party, click save and continue. 
Upload Documents: Attach your index, complaint, memo of parties, affidavit and any other evidence you have that you intend to rely on. You'll also attach the airline's response if received.
Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 

</INST> Would you like me to generate the complaint for you ? 

"
71,"  Yes, please.

","To draft the complaint I need further details like your name, father’s name/ husband's name, age and address.

"
72," Sure, Gorle Dhanalakshmi, Gorle Ramesh Murthy, 32 years, D. No. 12-47-10, Indira Colony, Gajuwaka, Visakhapatnam

","Could you please provide details of the courier company, like its full name, address of office of both Head office and branch office if any, and any authorized person you know about.

"
73," It does not have any branch office. International Couriers Services Shipping World Wide, Authorized Signatory Ponaganti Satyanarayana, Aged 45 years, D.No. 7-16-85, Behind Lenskart, Gajuwaka Main Road, Old Gajuwaka, Visakhapatnam. Courier company- Jet Dart Express Couriers, H. No. 10/A, MIGH, B.K. Guda, Opposite to Venkateswara Temple, S.R.Nagar, Hyderabad, Telangana-500038. 

","Thank you for providing these details. You can download the complaint here. Once downloaded, review and sign the complaint. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now? 
"
74,"  Yes, Please. It would be really helpful 

","Sure. Here is a draft Affidavit and Memorandum of parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?
"
75," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.

"
76," Service centre of the TV showroom from where I purchased my TV is refusing to repair it now. 
","That should not be the case. I would try to be of as much help as possible. Can you please tell me more about the issues that you are facing with your landline phone?
"
77," Yes, thank you. I purchased a Haier 32-inch LED TV, model number LE32K6600GAw, on 20/10/2021 vide bill number 106. I paid Rs. 20,000 for it after exchanging my old TV for Rs. 2,000.
","Do you have the purchase invoice?
"
78," Yes I have the original invoice along with me. The TV was working fine at the time of purchase.
","Okay. When did the issue arise?
"
79," The problem started on 29/03/2022. Within the warranty period, the TV display started giving problems.
","What exact problems did you notice with the TV display?
"
80," The display started showing vertical and horizontal flickering lines. The picture became distorted.
","Alright. What steps did you take to get this resolved?
"
81," I immediately informed the Pereira Electronics showroom about the issue on 30/03/2022. As advised, I also sent them photographs of the faulty display.
","And what was their response?
"
82," Shockingly, their technician dismissed it as physical damage without even looking at the TV. He refused service claiming I had damaged it externally.
","Did you get any report or proof from them about external damage?
"
83," No, there was no physical damage at all! The TV was under normal use. Still they refused service citing physical damage.
","Okay, thank you for the information. You can file a complaint before the consumer court having jurisdiction to hear the case. For that, you must first send a fifteen-day notice to  Pereira Electronics and Electricals. The same can be sent electronically or by post. Or else, you can also contact the  National  Consumer Helpline using the helpline number 1800-11-4000. The Consumer Helpline will give assistance regarding how you can approach the present dispute. What would you prefer?
"
84," I prefer sending legal notice. 
","Certainly. I will need some more information from you related to the matter. Can you please tell me the following: your full name with address, age, and occupation, and the registered office address of the TV showroom?
"
85," Sure. 1. Mrs. Mary J.F Victoria Gomes residing at H. No. 90, Near St Braz Church, Gandaulim Cumbarjua, North Goa and I by profession I am a Teacher in school 2. M/s Pereira Electronics and Electricals,  Trinity Apartment Opp Malik Petrol Pump,  Molar Corlim Goa - 403110
","Thank you! I would need some more information from you related to the matter to assist you better. What is the relief that you would wish to pursue through the complaint?
"
86," I want them to repair the damaged TV screen, if not repay Rs. 22,000/- towards refund of equipment with interest and pay compensation towards harassment, as well as litigation cost. 
","Thank you for supplying the information! Please find the notice for filing of consumer complaint here. Please note that these are templates that may require certain corrections or modifications and certain details (particularly the date and signature) will need to be filled at your end. 
"
87," Thank you. I want to file a consumer complaint; can you guide me?
","Sure! Since the total value of your TV you would claim would be Rs. 22,000/- which is less than 50 Lakh rupees, the complaint will have to be filed in a District Commission. You, as a complainant, reside in Cumbarjua and the cause of action arises in Cumbarjua. The opposite party carries on business in Corlim. You have the option to file the complaint to the North Goa District Consumer Disputes Redressal Commission.
"
